iter	RMSE
0	2746.985102
1	2693.815692
2	2643.494372
3	2589.495251
4	2537.67139
5	2486.594822
6	2438.854733
7	2390.465774
8	2345.793021
9	2299.886228
10	2261.968562
11	2219.478112
12	2183.826587
13	2140.003534
14	2105.75824
15	2073.826286
16	2039.020793
17	2002.192523
18	1968.080625
19	1936.826438
20	1906.311431
21	1876.228538
22	1846.164572
23	1814.042733
24	1787.154856
25	1756.522321
26	1734.173261
27	1703.288952828	1678.519509
29	1652.85919
30	1627.867231
31	1604.599367
32	1577.578776
33	1554.341533
34	1531.835242
35	1512.753709
36	1492.057929
37	1471.88851
38	1450.017336
39	1434.459691
40	1416.01306
41	1395.224073
42	1378.722721
43	1364.774968
44	1348.998903
45	1334.039289
46	1318.382614
47	1301.706702
48	1286.713818
49	1272.528812
50	1257.501752
51	1243.105746
52	1228.602345
53	1215.853443
54	1203.218335
55	1190.346469
56	1181.121519
57	1168.869264
58	1157.442964
59	1145.368554
60	1134.241036
61	1124.464368
62	1116.799884
63	1106.310895
64	1095.666359
65	1087.047149
66	1077.622573
67	1068.945858
68	1059.686547
69	1053.039219
70	1044.146386
71	1035.84726
72	1025.762073
73	1019.926805
74	1014.09315
75	1006.764764
76	999.9179936
77	992.5221699
78	986.1864221
79	979.9312886
80	972.4937823
81	966.632303
82	961.0573525
83	954.1987324
84	946.9509566
85	941.6675647
86	936.0681414
87	930.1809403
88	925.4380723
89	920.5981271
90	916.563896
91	912.828141
92	907.8907777
93	901.4222017
94	897.2642074
95	892.5484792
96	886.7280485
97	882.0892717
98	876.6695435
99	872.1911717
100	867.8373624
101	862.5578899
102	858.6854415
103	853.4381142
104	849.9329932
105	846.372322
106	842.2314652
107	837.7456496
108	834.3976293
109	829.8420676
110	826.1466283
111	821.8516443
112	817.0749726
113	812.8604063
114	808.2977669
115	804.6622053
116	801.363178
117	796.9670576
118	793.0730556
119	789.516843
120	786.8286365
121	782.7925765
122	779.2418202
123	773.9624371
124	770.8648402
125	768.3320807
126	764.6116526
127	761.8101405
128	759.9114831
129	756.7894126
130	753.2430614
131	750.1087647
132	747.4453627
133	744.3361681
134	740.5217533
135	737.6947027
136	734.4133329
137	730.9990217
138	727.8954259
139	725.0508679
140	722.8763609
141	719.8561001
142	716.4514516
143	713.7522046
144	710.8132866
145	707.1931496
146	704.651082
147	702.0337363
148	699.8604004
149	697.2393433
150	694.027314
151	691.1309598
152	688.1259506
153	685.6376939
154	682.9067087
155	680.3918348
156	677.9640881
157	674.4558008
158	672.3222937
159	669.4420078
160	666.6443045
161	663.3494762
162	660.0484653
163	657.298085
164	654.8715369
165	651.9308766
166	648.9758367
167	646.3392425
168	643.9185453
169	642.2912461
170	639.8152588
171	637.4797621
172	634.3380546
173	633.1081392
174	631.6706327
175	628.2014508
176	625.309785
177	622.2805612
178	620.5494127
179	618.9166008
180	616.2332047
181	614.4709838
182	612.9848518
183	611.8727624
184	609.8468129
185	608.1727569
186	607.2453007
187	604.4626038
188	601.8179864
189	600.7397545
190	599.3395211
191	597.5622388
192	595.5126873
193	594.015414
194	593.0050043
195	591.6585599
196	590.4046918
197	588.0186393
198	585.8394253
199	582.9057343
200	581.3334878
201	580.295881
202	578.1217904
203	575.7176745
204	572.7969725
205	571.4313884
206	570.6095823
207	569.4537365
208	568.7487022
209	566.2657696
210	564.8028714
211	563.6575906
212	562.2594446
213	561.3232212
214	560.2808425
215	559.3823175
216	557.809787
217	557.0006477
218	554.7943138
219	553.4978931
220	550.6951233
221	548.4771103
222	547.3967871
223	546.6056924
224	543.5092446
225	542.6307944
226	540.8136407
227	539.9538847
228	538.0108192
229	536.935753
230	535.8442944
231	533.901889
232	533.1688984
233	532.2955577
234	530.9559305
235	530.2143646
236	529.3854241
237	528.609423
238	527.8732018
239	527.084874
240	525.366723
241	523.2822394
242	521.1512029
243	518.8495678
244	516.853152
245	515.644459
246	513.9968947
247	511.8383593
248	509.3705508
249	508.6352669
250	507.9162282
251	506.1883553
252	505.0852246
253	504.423082
254	503.2892032
255	502.6483369
256	500.403588
257	498.7924687
258	497.4727439
259	496.2324032
260	495.6838133
261	493.7646193
262	492.248673
263	490.0508776
264	488.9039448
265	488.2628158
266	487.5447072
267	485.4199985
268	484.1446611
269	482.7626365
