iter	Passed	Remaining
0	227	227372
1	237	118263
2	244	81148
3	251	62729
4	277	55284
5	331	54902
6	347	49365
7	372	46225
8	407	44907
9	419	41515
10	426	38375
11	430	35444
12	439	33368
13	447	31534
14	452	29730
15	464	28544
16	469	27155
17	477	26030
18	483	24988
19	488	23945
20	494	23054
21	499	22224
22	506	21524
23	512	20846
24	518	20229
25	523	19624
26	527	19011
27	533	18508
28	546	18308
29	558	18046
30	568	17758
31	589	17822
32	601	17634
33	615	17476
34	627	17303
35	637	17062
36	646	16822
37	667	16904
38	675	16647
39	689	16555
40	697	16320
41	705	16093
42	720	16033
43	727	15810
44	733	15575
45	741	15371
46	745	15115
47	749	14855
48	754	14634
49	760	14451
50	765	14252
51	771	14056
52	776	13876
53	780	13677
54	786	13519
55	808	13624
56	813	13452
57	833	13529
58	841	13419
59	844	13231
60	849	13076
61	857	12966
62	861	12808
63	864	12642
64	867	12480
65	872	12352
66	877	12223
67	881	12080
68	885	11954
69	890	11834
70	893	11691
71	898	11576
72	901	11451
73	905	11336
74	910	11226
75	916	11136
76	921	11040
77	924	10933
78	928	10826
79	932	10728
80	936	10630
81	941	10538
82	947	10471
83	952	10388
84	957	10304
85	959	10201
86	965	10133
87	969	10049
88	973	9962
89	976	9870
90	980	9793
91	984	9711
92	987	9629
93	990	9542
94	995	9484
95	999	9411
96	1009	9398
97	1014	9339
98	1025	9333
99	1038	9345
100	1052	9368
101	1055	9293
102	1061	9240
103	1064	9167
104	1067	9097
105	1069	9019
106	1074	8964
107	1077	8902
108	1081	8842
109	1086	8788
110	1089	8727
111	1094	8681
112	1099	8633
113	1102	8567
114	1105	8504
115	1109	8456
116	1115	8420
117	1119	8367
118	1123	8320
119	1127	8271
120	1132	8225
121	1135	8174
122	1139	8127
123	1143	8080
124	1146	8028
125	1150	7981
126	1154	7939
127	1158	7890
128	1161	7839
129	1163	7789
130	1166	7740
131	1169	7691
132	1173	7649
133	1176	7603
134	1178	7554
135	1181	7509
136	1185	7465
137	1188	7424
138	1191	7382
139	1194	7339
140	1198	7299
141	1201	7260
142	1207	7236
143	1211	7200
144	1215	7165
145	1219	7134
146	1222	7093
147	1225	7053
148	1230	7026
149	1234	6992
150	1238	6964
151	1241	6926
152	1245	6893
153	1248	6860
154	1252	6828
155	1256	6798
156	1259	6761
157	1261	6724
158	1265	6695
159	1270	6670
160	1273	6639
161	1276	6604
162	1279	6571
163	1282	6536
164	1285	6503
165	1288	6472
166	1291	6443
167	1294	6409
168	1296	6375
169	1300	6349
170	1304	6322
171	1306	6291
172	1310	6262
173	1312	6232
174	1318	6216
175	1322	6193
176	1326	6169
177	1330	6145
178	1335	6123
179	1337	6094
180	1343	6078
181	1348	6059
182	1353	6040
183	1357	6019
184	1360	5993
185	1365	5978
186	1370	5957
187	1385	5985
188	1390	5968
189	1397	5956
190	1400	5932
191	1404	5909
192	1407	5885
193	1411	5862
194	1415	5843
195	1420	5824
196	1424	5807
197	1428	5784
198	1430	5756
199	1434	5737
200	1437	5715
201	1440	5689
202	1444	5670
203	1447	5646
204	1451	5628
205	1455	5608
